,P001001 Population:Total [1,P015001 Households:Total,P008001 HISPANIC:TotalHispanic'&'NotHispanic,P008002 HISPANIC:Total NotHispanic or Latino,P008003 HISPANIC:NotHisp:White alone,P008004 HISPANIC:NotHisp:Bl/AfAm alone,P008005 HISPANIC:NotHisp:AmInd/AK alone,P008006 HISPANIC:NotHisp:Asian alone,P008007 HISPANIC:NotHisp:HI alone,P008008 HISPANIC:NotHisp:Other alone,P008009 HISPANIC:NotHisp:Two+races,P008010 HISPANIC:Total Hispanic or Latino,P008011 HISPANIC:Hisp:White alone,P008012 HISPANIC:Hisp:Bl/AfAm alone,P008013 HISPANIC:Hisp:AmInd/AK alone,P008014 HISPANIC:Hisp:Asian alone,P008015 HISPANIC:Hisp:HI alone,P008016 HISPANIC:Hisp:Other alone,P008017 HISPANIC:Hisp:Two+ races,H003001 OCCUPANCY STATUS:Housing Units:Total,H003002 OCCUPANCY STATUS:Housing Units:Occupied,H003003 OCCUPANCY STATUS:Housing Units:Vacant,H004001 TENURE:Housing Units:Total,H004002 TENURE:Housing Units:Owner occupied,H004003 TENURE:Housing Units:Renter occupied,P012001 SEX BY AGE:Total Male'&'Female,P012002 SEX BY AGE:Total Male,P012026 SEX BY AGE:Total Female
06037900605,4874.0,1532.0,4874.0,3466.0,2422.0,737.0,26.0,152.0,7.0,7.0,115.0,1408.0,566.0,17.0,30.0,8.0,1.0,711.0,75.0,1990.0,1532.0,458.0,1532.0,1247.0,285.0,4874.0,2378.0,2496.0
06037900606,3510.0,1149.0,3510.0,2480.0,1560.0,717.0,18.0,72.0,3.0,21.0,89.0,1030.0,320.0,30.0,8.0,8.0,0.0,594.0,70.0,1270.0,1149.0,121.0,1149.0,552.0,597.0,3510.0,1706.0,1804.0
06037900607,3532.0,1106.0,3532.0,2488.0,1706.0,570.0,31.0,57.0,4.0,5.0,115.0,1044.0,391.0,20.0,22.0,2.0,7.0,510.0,92.0,1244.0,1106.0,138.0,1106.0,592.0,514.0,3532.0,1726.0,1806.0
06037900701,4843.0,1720.0,4843.0,3788.0,2820.0,623.0,29.0,136.0,24.0,10.0,146.0,1055.0,390.0,15.0,36.0,2.0,5.0,506.0,101.0,1880.0,1720.0,160.0,1720.0,965.0,755.0,4843.0,2330.0,2513.0
06037900703,4323.0,1743.0,4323.0,3441.0,2144.0,828.0,33.0,235.0,16.0,5.0,180.0,882.0,421.0,18.0,12.0,6.0,0.0,363.0,62.0,1934.0,1743.0,191.0,1743.0,412.0,1331.0,4323.0,2081.0,2242.0
06037900704,2894.0,1310.0,2894.0,2316.0,1254.0,847.0,17.0,84.0,10.0,7.0,97.0,578.0,181.0,15.0,13.0,1.0,0.0,307.0,61.0,1525.0,1310.0,215.0,1310.0,33.0,1277.0,2894.0,1395.0,1499.0
06037900705,3924.0,1727.0,3924.0,3266.0,2599.0,384.0,19.0,133.0,8.0,3.0,120.0,658.0,355.0,13.0,7.0,1.0,0.0,221.0,61.0,1959.0,1727.0,232.0,1727.0,599.0,1128.0,3924.0,1876.0,2048.0
06037900803,5887.0,1865.0,5887.0,4231.0,2911.0,830.0,33.0,233.0,1.0,14.0,209.0,1656.0,716.0,33.0,32.0,7.0,3.0,704.0,161.0,2005.0,1865.0,140.0,1865.0,1352.0,513.0,5887.0,2874.0,3013.0
06037900804,3118.0,919.0,3118.0,1946.0,1164.0,562.0,8.0,78.0,5.0,2.0,127.0,1172.0,519.0,6.0,17.0,12.0,0.0,550.0,68.0,1015.0,919.0,96.0,919.0,562.0,357.0,3118.0,1553.0,1565.0
06037900805,4688.0,1511.0,4688.0,3988.0,3392.0,353.0,23.0,112.0,1.0,2.0,105.0,700.0,362.0,7.0,20.0,2.0,0.0,246.0,63.0,1599.0,1511.0,88.0,1511.0,1084.0,427.0,4688.0,2114.0,2574.0
06037900806,3643.0,1411.0,3643.0,2399.0,1600.0,597.0,24.0,83.0,5.0,6.0,84.0,1244.0,732.0,5.0,18.0,1.0,1.0,423.0,64.0,1587.0,1411.0,176.0,1411.0,230.0,1181.0,3643.0,2006.0,1637.0
06037900900,2347.0,881.0,2347.0,2000.0,1783.0,78.0,29.0,57.0,0.0,0.0,53.0,347.0,178.0,4.0,6.0,3.0,0.0,121.0,35.0,965.0,881.0,84.0,881.0,750.0,131.0,2347.0,1197.0,1150.0
06037901003,4971.0,0.0,4971.0,3442.0,1020.0,1804.0,48.0,265.0,19.0,210.0,76.0,1529.0,566.0,41.0,28.0,1.0,1.0,820.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,4971.0,4943.0,28.0
06037901004,4015.0,1330.0,4015.0,3460.0,2608.0,381.0,19.0,270.0,12.0,8.0,162.0,555.0,251.0,8.0,3.0,7.0,0.0,230.0,56.0,1386.0,1330.0,56.0,1330.0,975.0,355.0,4015.0,1949.0,2066.0
06037901005,7733.0,2582.0,7733.0,6279.0,4400.0,1082.0,26.0,515.0,12.0,32.0,212.0,1454.0,597.0,26.0,11.0,13.0,3.0,683.0,121.0,2749.0,2582.0,167.0,2582.0,1877.0,705.0,7733.0,3752.0,3981.0
06037901006,9991.0,3450.0,9991.0,7892.0,6083.0,977.0,52.0,442.0,16.0,10.0,312.0,2099.0,1016.0,24.0,20.0,5.0,10.0,825.0,199.0,3645.0,3450.0,195.0,3450.0,2206.0,1244.0,9991.0,4898.0,5093.0
06037901007,1716.0,581.0,1716.0,1491.0,1304.0,75.0,17.0,44.0,2.0,0.0,49.0,225.0,122.0,0.0,1.0,4.0,0.0,64.0,34.0,608.0,581.0,27.0,581.0,477.0,104.0,1716.0,862.0,854.0
06037901101,4295.0,1463.0,4295.0,3566.0,2971.0,324.0,22.0,110.0,7.0,11.0,121.0,729.0,311.0,8.0,24.0,2.0,2.0,287.0,95.0,1563.0,1463.0,100.0,1463.0,1092.0,371.0,4295.0,2060.0,2235.0
06037901102,4559.0,1558.0,4559.0,3771.0,3291.0,227.0,28.0,93.0,9.0,7.0,116.0,788.0,370.0,9.0,34.0,1.0,0.0,314.0,60.0,1656.0,1558.0,98.0,1558.0,1121.0,437.0,4559.0,2295.0,2264.0
06037901203,1482.0,555.0,1482.0,1263.0,1118.0,46.0,13.0,42.0,3.0,7.0,34.0,219.0,89.0,4.0,8.0,1.0,0.0,107.0,10.0,670.0,555.0,115.0,555.0,446.0,109.0,1482.0,781.0,701.0
06037901204,2408.0,829.0,2408.0,2034.0,1857.0,93.0,7.0,23.0,2.0,3.0,49.0,374.0,161.0,5.0,5.0,3.0,0.0,155.0,45.0,940.0,829.0,111.0,829.0,651.0,178.0,2408.0,1313.0,1095.0
06037901205,6302.0,2291.0,6302.0,5493.0,4470.0,578.0,34.0,203.0,11.0,12.0,185.0,809.0,401.0,20.0,13.0,4.0,8.0,275.0,88.0,2404.0,2291.0,113.0,2291.0,1555.0,736.0,6302.0,2945.0,3357.0
06037901206,1182.0,435.0,1182.0,1051.0,947.0,49.0,9.0,12.0,1.0,3.0,30.0,131.0,68.0,3.0,6.0,1.0,0.0,40.0,13.0,491.0,435.0,56.0,435.0,351.0,84.0,1182.0,633.0,549.0
06037901207,2731.0,904.0,2731.0,2470.0,2114.0,146.0,16.0,107.0,3.0,11.0,73.0,261.0,162.0,3.0,6.0,0.0,0.0,65.0,25.0,960.0,904.0,56.0,904.0,841.0,63.0,2731.0,1383.0,1348.0
06037910000,11063.0,3176.0,11063.0,6712.0,5120.0,1181.0,75.0,88.0,14.0,25.0,209.0,4351.0,1612.0,41.0,73.0,6.0,2.0,2431.0,186.0,3534.0,3176.0,358.0,3176.0,2492.0,684.0,11063.0,5700.0,5363.0
06037910100,1355.0,378.0,1355.0,480.0,328.0,110.0,5.0,24.0,0.0,0.0,13.0,875.0,322.0,11.0,26.0,0.0,0.0,468.0,48.0,437.0,378.0,59.0,378.0,133.0,245.0,1355.0,674.0,681.0
06037910201,2772.0,950.0,2772.0,1859.0,1473.0,232.0,9.0,83.0,5.0,3.0,54.0,913.0,297.0,2.0,9.0,2.0,0.0,551.0,52.0,1015.0,950.0,65.0,950.0,696.0,254.0,2772.0,1367.0,1405.0
06037910202,3264.0,1081.0,3264.0,2847.0,2536.0,70.0,8.0,133.0,9.0,10.0,81.0,417.0,216.0,1.0,13.0,0.0,0.0,129.0,58.0,1156.0,1081.0,75.0,1081.0,962.0,119.0,3264.0,1631.0,1633.0
06037910203,9197.0,2708.0,9197.0,6601.0,4737.0,946.0,52.0,532.0,14.0,15.0,305.0,2596.0,1026.0,52.0,41.0,15.0,3.0,1258.0,201.0,2811.0,2708.0,103.0,2708.0,2253.0,455.0,9197.0,4507.0,4690.0
06037910204,6863.0,2027.0,6863.0,5528.0,4091.0,703.0,36.0,417.0,9.0,26.0,246.0,1335.0,597.0,13.0,3.0,4.0,0.0,521.0,197.0,2112.0,2027.0,85.0,2027.0,1850.0,177.0,6863.0,3355.0,3508.0
06037910205,1040.0,358.0,1040.0,880.0,695.0,44.0,17.0,76.0,6.0,2.0,40.0,160.0,62.0,3.0,1.0,0.0,0.0,92.0,2.0,392.0,358.0,34.0,358.0,315.0,43.0,1040.0,535.0,505.0
06037910206,142.0,51.0,142.0,132.0,121.0,1.0,1.0,5.0,0.0,1.0,3.0,10.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,54.0,51.0,3.0,51.0,37.0,14.0,142.0,67.0,75.0
06037910301,4056.0,1350.0,4056.0,3636.0,3110.0,184.0,24.0,190.0,7.0,7.0,114.0,420.0,248.0,2.0,7.0,0.0,0.0,124.0,39.0,1415.0,1350.0,65.0,1350.0,1190.0,160.0,4056.0,2042.0,2014.0
06037910302,4753.0,1471.0,4753.0,4188.0,3573.0,290.0,25.0,173.0,0.0,5.0,122.0,565.0,275.0,5.0,13.0,2.0,0.0,214.0,56.0,1690.0,1471.0,219.0,1471.0,1357.0,114.0,4753.0,2402.0,2351.0
06037910401,4831.0,1619.0,4831.0,3661.0,2442.0,626.0,29.0,376.0,9.0,9.0,170.0,1170.0,482.0,17.0,12.0,10.0,4.0,584.0,61.0,1736.0,1619.0,117.0,1619.0,1103.0,516.0,4831.0,2365.0,2466.0
