,Total:,No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,county
06001423700,1396.0,221.0,407.0,163.0,181.0,282.0,142.0,ala
06001423800,1325.0,16.0,147.0,281.0,386.0,292.0,203.0,ala
06001423901,832.0,10.0,248.0,246.0,246.0,55.0,27.0,ala
06001423902,783.0,36.0,228.0,199.0,148.0,99.0,73.0,ala
06001424001,1562.0,56.0,424.0,654.0,239.0,124.0,65.0,ala
06001424002,968.0,28.0,194.0,562.0,135.0,38.0,11.0,ala
06001425101,1341.0,139.0,964.0,164.0,55.0,19.0,0.0,ala
06001425102,1780.0,181.0,1070.0,417.0,112.0,0.0,0.0,ala
06001425103,1288.0,43.0,501.0,649.0,95.0,0.0,0.0,ala
06001425104,1708.0,174.0,773.0,531.0,199.0,16.0,15.0,ala
06001426100,2105.0,12.0,0.0,290.0,635.0,895.0,273.0,ala
06001426200,1692.0,0.0,75.0,279.0,778.0,489.0,71.0,ala
06001427100,1430.0,36.0,143.0,421.0,566.0,223.0,41.0,ala
06001427200,1632.0,0.0,345.0,681.0,459.0,93.0,54.0,ala
06001427300,2125.0,137.0,582.0,668.0,355.0,214.0,169.0,ala
06001427600,1769.0,20.0,452.0,876.0,270.0,137.0,14.0,ala
06001427700,2418.0,79.0,947.0,761.0,510.0,98.0,23.0,ala
06001427800,2113.0,81.0,655.0,704.0,397.0,157.0,119.0,ala
06001427900,2252.0,43.0,736.0,744.0,456.0,181.0,92.0,ala
06001428000,1399.0,66.0,557.0,580.0,155.0,29.0,12.0,ala
06001428100,2030.0,230.0,300.0,764.0,534.0,184.0,18.0,ala
06001428200,2665.0,74.0,396.0,850.0,1003.0,266.0,76.0,ala
06001428301,2485.0,8.0,33.0,496.0,1591.0,300.0,57.0,ala
06001428302,2685.0,0.0,57.0,332.0,1063.0,1038.0,195.0,ala
06001428400,1996.0,37.0,591.0,914.0,330.0,25.0,99.0,ala
06001428500,1543.0,7.0,370.0,795.0,198.0,125.0,48.0,ala
06001428600,1580.0,29.0,536.0,525.0,232.0,240.0,18.0,ala
06001428700,1450.0,139.0,50.0,301.0,505.0,435.0,20.0,ala
06001430101,2284.0,0.0,13.0,277.0,799.0,1125.0,70.0,ala
06001430102,942.0,0.0,34.0,140.0,189.0,533.0,46.0,ala
06001430200,2445.0,0.0,10.0,252.0,1315.0,718.0,150.0,ala
06001430300,1327.0,0.0,21.0,124.0,636.0,435.0,111.0,ala
06001430400,758.0,0.0,9.0,65.0,382.0,264.0,38.0,ala
06001430500,2126.0,79.0,106.0,906.0,811.0,159.0,65.0,ala
06001430600,2169.0,12.0,86.0,340.0,1006.0,620.0,105.0,ala
06001430700,1386.0,0.0,30.0,290.0,703.0,244.0,119.0,ala
06001430800,2173.0,60.0,157.0,551.0,1221.0,148.0,36.0,ala
06001430900,1889.0,46.0,411.0,1196.0,215.0,5.0,16.0,ala
06001431000,1156.0,0.0,518.0,323.0,311.0,4.0,0.0,ala
06001431100,1380.0,14.0,288.0,619.0,371.0,88.0,0.0,ala
06001431200,2693.0,50.0,506.0,1211.0,782.0,133.0,11.0,ala
06001432100,1384.0,51.0,106.0,473.0,628.0,116.0,10.0,ala
06001432200,1656.0,120.0,368.0,754.0,279.0,121.0,14.0,ala
06001432300,1613.0,80.0,232.0,632.0,407.0,152.0,110.0,ala
06001432400,1759.0,11.0,185.0,469.0,901.0,171.0,22.0,ala
06001432501,1426.0,74.0,141.0,313.0,775.0,102.0,21.0,ala
06001432502,1406.0,0.0,208.0,582.0,496.0,120.0,0.0,ala
06001432600,2869.0,125.0,909.0,1351.0,410.0,30.0,44.0,ala
06001432700,1003.0,0.0,68.0,436.0,411.0,76.0,12.0,ala
06001432800,1433.0,28.0,28.0,288.0,776.0,246.0,67.0,ala
06001433000,1379.0,15.0,17.0,564.0,607.0,165.0,11.0,ala
06001433102,1298.0,21.0,76.0,486.0,507.0,170.0,38.0,ala
06001433103,1527.0,84.0,695.0,552.0,186.0,0.0,10.0,ala
06001433104,1726.0,152.0,623.0,606.0,285.0,42.0,18.0,ala
06001433200,2686.0,237.0,746.0,497.0,877.0,296.0,33.0,ala
06001433300,2108.0,0.0,24.0,269.0,1328.0,445.0,42.0,ala
06001433400,2242.0,0.0,49.0,681.0,874.0,492.0,146.0,ala
06001433500,1350.0,17.0,11.0,142.0,1002.0,173.0,5.0,ala
06001433600,2070.0,27.0,343.0,643.0,932.0,98.0,27.0,ala
06001433700,1089.0,90.0,237.0,370.0,331.0,22.0,39.0,ala
06001433800,2567.0,19.0,501.0,881.0,1021.0,111.0,34.0,ala
06001433900,2343.0,30.0,464.0,1364.0,389.0,96.0,0.0,ala
06001434000,1800.0,42.0,399.0,825.0,436.0,70.0,28.0,ala
06001435102,1579.0,31.0,152.0,423.0,456.0,406.0,111.0,ala
06001435103,2080.0,48.0,13.0,85.0,566.0,1039.0,329.0,ala
06001435104,2177.0,12.0,513.0,1126.0,335.0,97.0,94.0,ala
06001435200,1449.0,11.0,69.0,233.0,621.0,497.0,18.0,ala
06001435300,1770.0,0.0,334.0,806.0,396.0,196.0,38.0,ala
06001435400,2154.0,243.0,648.0,821.0,326.0,97.0,19.0,ala
06001435500,1512.0,70.0,405.0,593.0,369.0,51.0,24.0,ala
06001435601,1634.0,16.0,157.0,1289.0,172.0,0.0,0.0,ala
06001435602,1692.0,31.0,441.0,665.0,464.0,74.0,17.0,ala
06001435700,1523.0,26.0,161.0,272.0,925.0,109.0,30.0,ala
06001435800,1641.0,0.0,13.0,135.0,1123.0,338.0,32.0,ala
06001435900,1672.0,0.0,0.0,224.0,1104.0,308.0,36.0,ala
06001436000,1435.0,0.0,0.0,109.0,1165.0,141.0,20.0,ala
06001436100,1800.0,42.0,376.0,237.0,1026.0,103.0,16.0,ala
06001436200,1227.0,5.0,249.0,698.0,240.0,20.0,15.0,ala
06001436300,2208.0,26.0,301.0,1214.0,566.0,59.0,42.0,ala
06001436401,3122.0,199.0,326.0,1077.0,1080.0,369.0,71.0,ala
06001436402,1101.0,0.0,0.0,86.0,351.0,481.0,183.0,ala
06001436500,1848.0,34.0,671.0,675.0,357.0,66.0,45.0,ala
06001436601,1995.0,29.0,234.0,848.0,781.0,103.0,0.0,ala
06001436602,1733.0,25.0,676.0,594.0,275.0,151.0,12.0,ala
06001436700,1036.0,55.0,165.0,417.0,344.0,55.0,0.0,ala
06001436800,1427.0,41.0,332.0,319.0,535.0,136.0,64.0,ala
06001436900,1968.0,0.0,272.0,601.0,820.0,266.0,9.0,ala
06001437000,1282.0,0.0,239.0,269.0,676.0,98.0,0.0,ala
06001437101,1894.0,0.0,0.0,291.0,715.0,628.0,260.0,ala
06001437102,1536.0,46.0,226.0,437.0,729.0,98.0,0.0,ala
06001437200,2320.0,3.0,257.0,926.0,627.0,380.0,127.0,ala
06001437300,908.0,0.0,44.0,220.0,530.0,104.0,10.0,ala
06001437400,974.0,0.0,12.0,37.0,817.0,93.0,15.0,ala
06001437500,1245.0,0.0,158.0,691.0,380.0,16.0,0.0,ala
06001437600,953.0,0.0,60.0,277.0,573.0,19.0,24.0,ala
06001437701,1155.0,6.0,189.0,617.0,300.0,43.0,0.0,ala
06001437702,1145.0,0.0,91.0,851.0,185.0,18.0,0.0,ala
