,P030001 Total: Workers 16 years and over,P030005 Total:  Public transportation:
06005000301,660.0,0.0
06005000302,3320.0,0.0
06005000401,1871.0,12.0
06005000402,1833.0,0.0
06005000500,1315.0,0.0
06007000101,2941.0,55.0
06007000102,1665.0,23.0
06007000201,1934.0,18.0
06007000202,1527.0,48.0
06007000300,1790.0,30.0
06007000400,3041.0,7.0
06007000501,1582.0,13.0
06007000502,2038.0,60.0
06007000601,1418.0,0.0
06007000603,1525.0,81.0
06007000604,2184.0,68.0
06007000700,2579.0,14.0
06007000800,2381.0,26.0
06007000900,5286.0,82.0
06007001000,2496.0,39.0
06007001100,1877.0,27.0
06007001200,1653.0,31.0
06007001300,1489.0,10.0
06007001400,2572.0,6.0
06007001500,2358.0,7.0
06007001600,2083.0,0.0
06007001701,1967.0,23.0
06007001702,1619.0,17.0
06007001800,2050.0,5.0
06007001900,969.0,11.0
06007002000,2037.0,14.0
06007002100,1754.0,7.0
06007002200,2039.0,45.0
06007002300,1694.0,4.0
06007002400,1426.0,0.0
06007002500,1050.0,5.0
06007002600,1759.0,2.0
06007002700,2118.0,8.0
06007002800,1327.0,20.0
06007002900,2010.0,37.0
06007003000,1621.0,0.0
06007003100,1520.0,0.0
06007003200,1203.0,4.0
06007003300,1402.0,21.0
06007003400,1078.0,0.0
06007003500,2411.0,26.0
06007003600,1336.0,5.0
06009000110,3059.0,0.0
06009000120,1403.0,0.0
06009000210,3081.0,14.0
06009000220,1649.0,9.0
06009000300,2303.0,0.0
06009000400,1419.0,0.0
06009000500,2949.0,19.0
06011000100,1710.0,0.0
06011000200,1735.0,12.0
06011000300,1528.0,0.0
06011000400,893.0,0.0
06011000500,1186.0,13.0
06013301000,1456.0,25.0
06013302002,3711.0,68.0
06013302003,4790.0,135.0
06013302004,4993.0,196.0
06013303100,2940.0,99.0
06013303200,9252.0,194.0
06013304000,5376.0,121.0
06013305000,2571.0,137.0
06013306001,3267.0,111.0
06013306002,1384.0,56.0
06013307101,2190.0,68.0
06013307102,1930.0,30.0
06013307201,1059.0,18.0
06013307202,1729.0,71.0
06013307204,2059.0,30.0
06013307205,3444.0,112.0
06013308001,3463.0,62.0
06013308002,1982.0,68.0
06013309000,1301.0,140.0
06013310000,1512.0,133.0
06013311000,1811.0,183.0
06013312000,856.0,149.0
06013313101,2505.0,121.0
