,P052001 Total: Households,"P052002 Total:  Less than $10,000"
06001430900,1905.0,155.0
06001431000,1184.0,108.0
06001431100,1307.0,64.0
06001431200,2654.0,142.0
06001432100,1432.0,82.0
06001432200,1631.0,125.0
06001432300,1341.0,76.0
06001432400,1818.0,68.0
06001432500,2858.0,122.0
06001432600,2832.0,168.0
06001432700,1020.0,42.0
06001432800,1498.0,44.0
06001433000,1452.0,98.0
06001433101,3264.0,252.0
06001433102,1271.0,68.0
06001433200,2708.0,244.0
06001433300,2194.0,65.0
06001433400,2255.0,64.0
06001433500,1416.0,74.0
06001433600,2153.0,149.0
06001433700,1020.0,71.0
06001433800,2443.0,147.0
06001433900,2188.0,215.0
06001434000,1611.0,161.0
06001435101,3775.0,131.0
06001435102,1710.0,58.0
06001435200,1360.0,78.0
06001435300,1653.0,119.0
06001435400,1816.0,177.0
06001435500,1457.0,216.0
06001435600,3163.0,217.0
06001435700,1489.0,88.0
06001435800,1637.0,84.0
06001435900,1686.0,50.0
06001436000,1441.0,48.0
06001436100,1734.0,171.0
06001436200,1067.0,98.0
06001436300,1886.0,144.0
06001436401,2806.0,195.0
06001436402,1057.0,11.0
06001436500,1724.0,212.0
06001436601,1889.0,122.0
06001436602,1557.0,108.0
06001436700,825.0,51.0
06001436800,1345.0,92.0
06001436900,1879.0,133.0
06001437000,1256.0,31.0
06001437100,2710.0,116.0
06001437200,2179.0,153.0
06001437300,945.0,30.0
06001437400,955.0,32.0
06001437500,1205.0,83.0
06001437600,918.0,86.0
06001437700,2172.0,146.0
06001437800,1224.0,73.0
06001437900,723.0,58.0
06001438000,1029.0,23.0
06001438100,2102.0,65.0
06001438201,1192.0,61.0
06001438202,2962.0,154.0
06001438300,912.0,23.0
06001438400,748.0,26.0
06001440100,749.0,41.0
06001440200,1407.0,80.0
06001440301,2094.0,121.0
06001440302,1876.0,29.0
06001440304,1262.0,98.0
06001440305,1039.0,7.0
06001440306,1015.0,16.0
06001440307,1558.0,50.0
06001440308,1875.0,138.0
06001440309,2254.0,107.0
06001440331,894.0,20.0
06001440332,852.0,23.0
06001441100,1466.0,70.0
06001441200,2445.0,83.0
06001441301,1009.0,43.0
06001441302,1875.0,55.0
06001441401,2326.0,81.0
06001441402,1679.0,65.0
06001441501,1404.0,22.0
06001441503,3733.0,47.0
06001441521,1788.0,60.0
06001441522,1414.0,45.0
06001441601,1434.0,56.0
06001441602,2189.0,53.0
06001441700,2383.0,80.0
06001441800,2321.0,142.0
06001441901,4765.0,150.0
06001441921,902.0,9.0
06001441922,3043.0,201.0
06001441923,2065.0,103.0
06001442000,987.0,15.0
06001442100,1585.0,22.0
06001442200,2117.0,22.0
06001442300,2934.0,193.0
06001442400,1853.0,46.0
06001442500,2209.0,78.0
06001442600,2940.0,43.0
06001442700,1070.0,12.0
06001442800,940.0,0.0
06001442900,2381.0,59.0
06001443001,811.0,0.0
06001443002,1845.0,66.0
06001443101,2921.0,135.0
06001443102,1415.0,18.0
06001443103,1041.0,33.0
06001443200,1089.0,26.0
06001443301,1176.0,47.0
06001443302,2151.0,126.0
06001444100,2513.0,192.0
